Week,Phase,Task ID,Task,Deliverable,Acceptance Criteria,Owner,Status,Planned Start,Planned End,Actual Start,Actual End,Est Hours,Actual Hours,Blockers,Notes
3,Parameterize,W3.3,Write scripts/run-n.sh to spin up N namespaces in parallel,scripts/run-n.sh,run-n.sh 4 produces 4 clean result bundles,Intern,Completed,2026-06-03,2026-06-03,2026-06-03,2026-06-03,8,4,None,"N=4 parallel run; all TC_26_2_3 PASS; wall-clock 172s identical to N=1; no resource contention observed"
3,Review,W3.R,Friday demo: N=4 parallel run,Demo + commit,Mentor sign-off,Intern,Planned,,,,,2,,,
4,Measure,W4.1,Implement measurement harness per docs/metrics.md,events.csv + host-samples.csv + summary.json per run,All required fields populated; schema documented,Intern,Completed,2026-06-09,2026-06-11,2026-06-09,2026-06-11,10,9,None,"Added network/disk/container/inotify metric groups to collect-host.sh; documented output schemas in docs/metrics.md"
4,Measure,W4.2,Round-robin test sharding; record per-test durations,Sharding script + per-test CSV,Same tests assigned deterministically given N,Intern,Completed,2026-06-11,2026-06-12,2026-06-11,2026-06-12,6,5,None,"Added --workers N to run-n.sh; per-test start/end/duration/verdict written to test-durations.csv; summarize.py updated"
4,Measure,W4.3,"Run matrix N in {1,2,4,8} x 3; produce plots",results/week04/ with CSVs + plots,Plots regenerable from raw data,Intern,Completed,2026-06-12,2026-06-15,2026-06-12,2026-06-15,8,9,None,"Full 12-run matrix (96 tests 96/96 PASS); S(8)=7.53x E(8)=94%; super-linear S(2) explained by MSC stub crash threshold"
4,Review,W4.M,Mid-point review meeting,docs/midpoint.md,Scope for weeks 5-8 agreed,Intern+Mentor,Planned,,,,,2,,,
5,Scale,W5.1,Build sliding-window dispatcher; sweep N to pod-limit plateau,scripts/run-sliding-window.sh + results/week05/ runs,Plateau N identified with evidence; speedup vs N plotted,Intern,Completed,2026-06-22,2026-06-25,2026-06-22,2026-06-25,10,12,None,"Flock-based dynamic dispatcher; N=8: 5.50x E=68.7%; N=11: 5.76x E=52.4%; N=11 confirmed safe max (110-pod node); CPU limit sweep finds 150m saturation point"
5,Scale,W5.2,Capture failure modes from extended BSC stub campaign; coordinate fixes with Vishal,Failure logs in results/week05/vishal-bug*/,Each failure attributed to test or stack issue,Intern,In Progress,2026-06-26,,2026-06-26,,8,6,Vishal BSC stub fixes still landing,"58-test run exposed BSC stub failures; 3-fix image raised pass rate 2/10→4/10; extended campaign 16 new tests shows 10/16 pass — failures N-independent"
5,Scale,W5.3,Identify top bottlenecks and document in week05 README,results/week05/README.md bottleneck section,Top bottlenecks written up with data,Intern,Completed,2026-06-23,2026-06-26,2026-06-23,2026-06-26,4,3,None,"Two bottlenecks: (1) TC_26_6_1_1 412s Amdahl tail sets T_suite floor regardless of N; (2) 110-pod node cap limits safe N to 11"
5,Review,W5.R,Friday demo: scaling curve + bottleneck shortlist,Demo + commit,Mentor sign-off,Intern,Planned,,,,,2,,,
6,Tune,W6.1,Apply pod-level fixes (requests/limits/probes/affinity),Updated chart,Pods stable at higher N,Intern,Planned,,,,,8,,,
6,Tune,W6.2,Apply node-level fixes (sysctls/ulimits/image pre-pull) with justification,docs/tuning.md,Every change has rationale + measurement,Intern,Planned,,,,,8,,,
6,Tune,W6.3,Re-run matrix; before/after plots,results/week06/,Improvement quantified or fundamental ceiling explained,Intern,Planned,,,,,6,,,
6,Review,W6.R,Friday demo: tuning results,Demo + commit,Mentor sign-off,Intern,Planned,,,,,2,,,
7,Robustness,W7.1,Per-namespace failure isolation + retries + timeouts,Updated launcher,Single failure does not abort whole run,Intern,Planned,,,,,8,,,
7,Robustness,W7.2,Smart sharding (LPT bin packing) using week-4 durations,Updated sharder,Smart vs round-robin compared on same matrix,Intern,Planned,,,,,6,,,
7,Robustness,W7.3,Prometheus + Grafana per-namespace dashboard,Dashboard JSON + screenshot,Dashboard reproducible from chart,Intern,Planned,,,,,6,,,
7,Review,W7.R,Friday demo: robustness + sharding,Demo + commit,Mentor sign-off,Intern,Planned,,,,,2,,,
8,Wrap,W8.1,Final report,docs/final-report.md,All metrics + plots + bottlenecks + recommendations,Intern,Planned,,,,,8,,,
8,Wrap,W8.2,Runbook,docs/runbook.md,Another engineer can reproduce headline number,Intern,Planned,,,,,6,,,
8,Wrap,W8.3,Final demo,Live run at best N,Mentor + team sign-off,Intern,Planned,,,,,3,,,
8,Wrap,W8.4,Handoff PR review + tagged release,Tagged release,All PRs merged; release notes written,Intern+Mentor,Planned,,,,,3,,,
